index,Amount,AmountLoan,BatchId,ChannelId,CountryCode,Currency,CurrencyCode,CustomerId,CustomerId_FE,CustomerId_ProductCategory_Value_Ratio,CustomerId_ProductCategory_Value_max,CustomerId_ProductCategory_Value_mean,CustomerId_ProductCategory_Value_min,CustomerId_ProductCategory_Value_std,CustomerId_ProductCategory_ct,CustomerId_ProductId_Value_Ratio,CustomerId_ProductId_Value_max,CustomerId_ProductId_Value_mean,CustomerId_ProductId_Value_min,CustomerId_ProductId_Value_std,CustomerId_ProductId_ct,CustomerId_TransactionId_ct,DueDate,DueDateDay,DueDateDayofweek,DueDateElapsed,DueDateIs_month_end,DueDateIs_month_start,DueDateIs_quarter_end,DueDateIs_quarter_start,DueDateIs_year_end,DueDateIs_year_start,InvestorId,IsDefaulted,IsFinalPayBack,IsThirdPartyConfirmed,Issue_Trans_Diff,IssuedDateLoan,LoanApplicationId,LoanId,PaidOnDate,PayBackId,ProductCategory,ProductId,ProductId_ProductCategory,ProviderId,SubscriptionId,ThirdPartyId,TransactionId,TransactionId_FE,TransactionStartTime,TransactionStartTimeDay,TransactionStartTimeDayofweek,TransactionStartTimeDayofyear,TransactionStartTimeElapsed,TransactionStartTimeHour,TransactionStartTimeIs_month_end,TransactionStartTimeIs_month_start,TransactionStartTimeIs_quarter_end,TransactionStartTimeIs_quarter_start,TransactionStartTimeIs_year_end,TransactionStartTimeIs_year_start,TransactionStartTimeMinute,TransactionStartTimeMonth,TransactionStartTimeSecond,TransactionStartTimeWeek,TransactionStatus,Value,Value_CustomerId_max,Value_CustomerId_mean,Value_CustomerId_min,Value_CustomerId_std,Value_Mean_Minus,Value_Mean_Ratio,ext_data_CustomerId_ProductCategory_Value_Ratio,ext_data_CustomerId_ProductCategory_Value_max,ext_data_CustomerId_ProductCategory_Value_mean,ext_data_CustomerId_ProductCategory_Value_min,ext_data_CustomerId_ProductCategory_Value_std,ext_data_CustomerId_ProductId_Value_Ratio,ext_data_CustomerId_ProductId_Value_max,ext_data_CustomerId_ProductId_Value_mean,ext_data_CustomerId_ProductId_Value_min,ext_data_CustomerId_ProductId_Value_std,ext_data_Value_CustomerId_max,ext_data_Value_CustomerId_mean,ext_data_Value_CustomerId_min,ext_data_Value_CustomerId_std,meanTransactionPerLoan,rejected_CustomerId_FE,rejected_loan_ratio,pc1,pc2,pc3,kmeans
9,-10000.0,10016.0,BatchId_1970,ChannelId_1,256,UGX,UGX,96,0.010423053,13.333333,1000.0,750.0,500.0,288.67514,3.0,13.333333,1000.0,750.0,500.0,288.67514,4.0,17.0,2018-11-17 16:11:04,17,5,1542471064,0,0,0,0,0,0,2,0.0,1.0,0.0,-2.0,2018-10-18 16:11:53,,LoanId_62,2018-10-22 09:13:17,PayBackId_1791,0,15,15,ProviderId_1,2,ThirdPartyId_648,TransactionId_1041,0.0006131208,2018-10-18 16:11:55,18,3,291,1539879115,16,0,0,0,0,0,0,11,10,55,42,1,10000.0,185400.0,44725.0,5000.0,59024.906,-34725.0,0.2235886,4.036327,30000.0,2477.5,500.0,5317.098,1.882353,30000.0,5312.5,500.0,7687.3813,10000.0,10000.0,10000.0,-1.0,1.1764706,2.0,0.10526316,0.05575311698761941,-1.7195429822424244,1.9359253870886093,1
13,-5150.0,5614.0,BatchId_1458,ChannelId_1,256,UGX,UGX,77,0.030042918,1.560606,10000.0,3300.0,500.0,4221.9663,6.0,1.7913043,10000.0,2875.0,500.0,4750.0,8.0,49.0,2018-11-18 10:16:06,18,6,1542536166,0,0,0,0,0,0,2,0.0,1.0,0.0,-2.0,2018-10-19 10:18:31,,LoanId_22,2018-10-30 06:50:37,PayBackId_647,0,15,15,ProviderId_1,2,ThirdPartyId_1484,TransactionId_1598,0.0006131208,2018-10-19 10:18:33,19,4,292,1539944313,10,0,0,0,0,0,0,18,10,33,42,1,5150.0,118450.0,10568.1,500.0,23831.975,-5418.0996,0.48731562,0.82002014,10000.0,6280.3335,2000.0,3150.543,0.82002014,10000.0,6280.3335,2000.0,3150.543,130000.0,15507.772,500.0,30961.96,1.0204082,1.0,0.02,-0.6906496077451164,-1.661525599344066,2.3576624429434325,1
14,-515.0,544.0,BatchId_1672,ChannelId_1,256,UGX,UGX,77,0.030042918,0.18303454,5150.0,2813.6765,500.0,2056.898,6.0,0.17784493,5150.0,2895.7812,500.0,2090.3015,8.0,49.0,2018-11-18 11:00:56,18,6,1542538856,0,0,0,0,0,0,2,0.0,1.0,0.0,-2.0,2018-10-19 11:01:28,,LoanId_368,2018-10-22 16:11:37,PayBackId_1267,0,15,15,ProviderId_1,2,ThirdPartyId_949,TransactionId_2115,0.0006131208,2018-10-19 11:01:30,19,4,292,1539946890,11,0,0,0,0,0,0,1,10,30,42,1,515.0,118450.0,10568.1,500.0,23831.975,-10053.1,0.04873156,0.11727835,50000.0,4391.262,500.0,5951.3735,0.117770374,50000.0,4372.9165,500.0,6120.6206,130000.0,15507.772,500.0,30961.96,1.0204082,1.0,0.02,-0.853961527778335,-1.916040271110756,2.965011107071147,1
15,-5000.0,5375.0,BatchId_775,ChannelId_1,256,UGX,UGX,77,0.030042918,0.157401,31766.0,31766.0,31766.0,-1.0,6.0,0.157401,31766.0,31766.0,31766.0,-1.0,8.0,49.0,2018-11-21 16:03:32,21,2,1542816212,0,0,0,0,0,0,2,0.0,1.0,0.0,-3.0,2018-10-22 16:04:22,LoanApplicationId_1629,LoanId_317,2018-10-30 06:49:57,PayBackId_1719,0,15,15,ProviderId_1,2,ThirdPartyId_1010,TransactionId_2632,0.0006131208,2018-10-22 16:04:25,22,0,295,1540224265,16,0,0,0,0,0,0,4,10,25,43,1,5000.0,118450.0,10568.1,500.0,23831.975,-5568.0996,0.47312197,0.17337032,28840.0,28840.0,28840.0,-1.0,0.17337032,28840.0,28840.0,28840.0,-1.0,130000.0,15507.772,500.0,30961.96,1.0204082,1.0,0.02,-1.1330682494608488,-2.0451275245089087,7.944996132886104,1
17,-500.0,543.0,BatchId_2016,ChannelId_1,256,UGX,UGX,137,0.0012262416,0.3,4000.0,1666.6666,1000.0,901.3878,2.0,0.36363637,1500.0,1375.0,1000.0,231.45503,2.0,2.0,2018-11-22 13:12:16,22,3,1542892336,0,0,0,0,0,0,1,0.0,1.0,0.0,-2.0,2018-10-23 13:12:21,LoanApplicationId_136,LoanId_1619,2018-10-23 13:18:42,PayBackId_725,0,15,15,ProviderId_1,0,ThirdPartyId_1566,TransactionId_1297,0.0006131208,2018-10-23 13:12:23,23,1,296,1540300343,13,0,0,0,0,0,0,12,10,23,43,1,500.0,2500000.0,2000100.0,500.0,1117810.4,-1999600.0,0.0002499875,0.22340663,15000.0,2238.0715,500.0,3831.232,0.5,1000.0,1000.0,1000.0,0.0,137700.0,23457.812,500.0,37789.426,2.5,0.0,0.0,12.791400829135133,-6.634798021830881,2.547920496656868,1
18,-1000.0,1085.0,BatchId_1675,ChannelId_1,256,UGX,UGX,106,0.011036174,0.06511628,50000.0,15357.143,5000.0,12929.437,5.0,0.06341463,50000.0,15769.23,5000.0,13361.349,6.0,18.0,2018-11-22 15:20:53,22,3,1542900053,0,0,0,0,0,0,1,0.0,1.0,0.0,-3.0,2018-10-23 15:20:55,LoanApplicationId_1171,LoanId_1438,2018-10-23 15:26:58,PayBackId_1085,0,15,15,ProviderId_1,0,ThirdPartyId_1265,TransactionId_1367,0.0006131208,2018-10-23 15:20:58,23,1,296,1540308058,15,0,0,0,0,0,0,20,10,58,43,1,1000.0,11000.0,2959.0908,100.0,4267.1123,-1959.0908,0.33794165,-1000.0,-1.0,-1.0,-1.0,-1.0,-1000.0,-1.0,-1.0,-1.0,-1.0,500000.0,6046.905,500.0,38873.35,1.2222222,12.0,0.4,-1.054552031117195,-1.0109123660303598,1.8180813528873974,1
19,-500.0,543.0,BatchId_2449,ChannelId_1,256,UGX,UGX,106,0.011036174,0.018497964,53500.0,27030.0,5750.0,24265.912,5.0,0.018497964,53500.0,27030.0,5750.0,24265.912,6.0,18.0,2018-11-23 06:33:57,23,4,1542954837,0,0,0,0,0,0,1,0.0,1.0,0.0,54153.0,2018-10-24 06:34:00,LoanApplicationId_702,LoanId_1304,2018-10-24 06:38:49,PayBackId_763,0,15,15,ProviderId_1,0,ThirdPartyId_1962,TransactionId_871,0.0006131208,2018-10-23 15:31:27,23,1,296,1540308687,15,0,0,0,0,0,0,31,10,27,43,1,500.0,11000.0,2959.0908,100.0,4267.1123,-2459.0908,0.16897082,0.019062143,53500.0,26230.0,11200.0,16880.521,0.028133791,43200.0,17772.223,11200.0,11299.976,500000.0,6046.905,500.0,38873.35,1.2222222,12.0,0.4,-2.3468078454511123,-2.79057322918107,11.869119895514979,1
20,-500.0,543.0,BatchId_1564,ChannelId_1,256,UGX,UGX,106,0.011036174,0.018497964,53500.0,27030.0,5750.0,24265.912,5.0,0.018497964,53500.0,27030.0,5750.0,24265.912,6.0,18.0,2018-11-23 06:55:58,23,4,1542956158,0,0,0,0,0,0,1,0.0,1.0,0.0,-2.0,2018-10-24 06:56:00,LoanApplicationId_508,LoanId_1436,2018-10-24 07:01:48,PayBackId_1228,1,12,12,ProviderId_1,0,ThirdPartyId_2008,TransactionId_1019,0.0006131208,2018-10-24 06:56:02,24,2,297,1540364162,6,0,0,0,0,0,0,56,10,2,43,1,500.0,11000.0,2959.0908,100.0,4267.1123,-2459.0908,0.16897082,0.019062143,53500.0,26230.0,11200.0,16880.521,0.028133791,43200.0,17772.223,11200.0,11299.976,500000.0,6046.905,500.0,38873.35,1.2222222,12.0,0.4,-1.8449007174091123,-2.361237460959622,9.673586351343992,1
22,-500.0,520.0,BatchId_1854,ChannelId_1,256,UGX,UGX,77,0.030042918,0.17770344,5150.0,2813.6765,500.0,2056.898,6.0,0.17266497,5150.0,2895.7812,500.0,2090.3015,8.0,49.0,2018-11-23 11:37:11,23,4,1542973031,0,0,0,0,0,0,1,0.0,1.0,0.0,-3.0,2018-10-24 11:37:13,LoanApplicationId_1546,LoanId_1435,2018-10-24 11:40:34,PayBackId_1842,0,15,15,ProviderId_1,0,ThirdPartyId_679,TransactionId_2,0.0006131208,2018-10-24 11:37:16,24,2,297,1540381036,11,0,0,0,0,0,0,37,10,16,43,1,500.0,118450.0,10568.1,500.0,23831.975,-10068.1,0.047312196,0.11386248,50000.0,4391.262,500.0,5951.3735,0.114340164,50000.0,4372.9165,500.0,6120.6206,130000.0,15507.772,500.0,30961.96,1.0204082,1.0,0.02,-1.1441143109547358,-1.7554456117203932,2.8639947585879066,1
23,-1000.0,1065.0,BatchId_2068,ChannelId_1,256,UGX,UGX,77,0.030042918,0.14634146,10000.0,6833.3335,500.0,5484.8276,6.0,0.14634146,10000.0,6833.3335,500.0,5484.8276,8.0,49.0,2018-11-23 15:28:05,23,4,1542986885,0,0,0,0,0,0,1,0.0,1.0,0.0,-2.0,2018-10-24 15:28:11,LoanApplicationId_376,LoanId_183,2018-10-30 06:49:17,PayBackId_982,0,15,15,ProviderId_1,0,ThirdPartyId_1147,TransactionId_1995,0.0006131208,2018-10-24 15:28:13,24,2,297,1540394893,15,0,0,0,0,0,0,28,10,13,43,1,1000.0,118450.0,10568.1,500.0,23831.975,-9568.1,0.09462439,1.6666666,600.0,600.0,600.0,0.0,1.6666666,600.0,600.0,600.0,0.0,130000.0,15507.772,500.0,30961.96,1.0204082,1.0,0.02,-0.8687178900132868,-1.2548359610110666,0.9245351672951775,1
