"TransactionId","BatchId","CustomerId","CurrencyCode","CountryCode","ProviderId","ProductId","ProductCategory","ChannelId","Amount","Value","TransactionStartTime"
"TransactionId_18876","BatchId_7899","CustomerId_250","UGX","256","ProviderId_2","ProductId_8","data_bundles","ChannelId_3",2000,2000,"30/6/19 22:57:49"
"TransactionId_15089","BatchId_8829","CustomerId_423","UGX","256","ProviderId_5","ProductId_7","airtime","ChannelId_3",800,800,"30/6/19 22:39:11"
"TransactionId_9561","BatchId_15250","CustomerId_423","UGX","256","ProviderId_2","ProductId_10","financial_services","ChannelId_3",2000,2000,"30/6/19 22:35:53"
"TransactionId_3635","BatchId_14442","CustomerId_316","UGX","256","ProviderId_4","ProductId_3","airtime","ChannelId_3",1000,1000,"30/6/19 19:47:00"
"TransactionId_3104","BatchId_5171","CustomerId_193","UGX","256","ProviderId_5","ProductId_1","airtime","ChannelId_3",5000,5000,"30/6/19 19:11:01"
"TransactionId_6727","BatchId_17794","CustomerId_348","UGX","256","ProviderId_5","ProductId_15","utility_bill","ChannelId_3",3000,3690,"30/6/19 18:44:32"
"TransactionId_6924","BatchId_8057","CustomerId_348","UGX","256","ProviderId_5","ProductId_15","utility_bill","ChannelId_3",5000,5750,"30/6/19 18:41:14"
"TransactionId_14819","BatchId_9601","CustomerId_499","UGX","256","ProviderId_5","ProductId_1","airtime","ChannelId_4",1300,1300,"30/6/19 18:40:27"
"TransactionId_11883","BatchId_17012","CustomerId_348","UGX","256","ProviderId_4","ProductId_10","financial_services","ChannelId_3",7000,7000,"30/6/19 18:35:29"
"TransactionId_15322","BatchId_18156","CustomerId_280","UGX","256","ProviderId_5","ProductId_3","airtime","ChannelId_3",600,600,"30/6/19 17:52:44"
"TransactionId_14101","BatchId_10094","CustomerId_499","UGX","256","ProviderId_4","ProductId_10","financial_services","ChannelId_4",1300,1300,"30/6/19 17:26:40"
"TransactionId_11707","BatchId_12686","CustomerId_302","UGX","256","ProviderId_3","ProductId_1","airtime","ChannelId_3",500,500,"30/6/19 17:20:05"
"TransactionId_11344","BatchId_17857","CustomerId_138","UGX","256","ProviderId_5","ProductId_13","tv","ChannelId_3",1600,1600,"30/6/19 16:44:49"
"TransactionId_13427","BatchId_13979","CustomerId_334","UGX","256","ProviderId_5","ProductId_7","airtime","ChannelId_3",1400,1400,"30/6/19 16:00:55"
"TransactionId_19130","BatchId_5164","CustomerId_334","UGX","256","ProviderId_5","ProductId_8","data_bundles","ChannelId_3",50000,50000,"30/6/19 15:47:18"
"TransactionId_17092","BatchId_7061","CustomerId_334","UGX","256","ProviderId_4","ProductId_10","financial_services","ChannelId_3",12000,12000,"30/6/19 15:45:52"
"TransactionId_13670","BatchId_16697","CustomerId_280","UGX","256","ProviderId_5","ProductId_8","data_bundles","ChannelId_3",500,500,"30/6/19 15:33:22"
"TransactionId_3363","BatchId_7881","CustomerId_280","UGX","256","ProviderId_4","ProductId_10","financial_services","ChannelId_3",1400,1400,"30/6/19 15:26:48"
"TransactionId_19019","BatchId_7578","CustomerId_280","UGX","256","ProviderId_4","ProductId_3","airtime","ChannelId_3",600,600,"30/6/19 15:10:05"
"TransactionId_8662","BatchId_15144","CustomerId_326","UGX","256","ProviderId_5","ProductId_19","tv","ChannelId_3",12000,12360,"30/6/19 15:03:53"
"TransactionId_13433","BatchId_11752","CustomerId_305","UGX","256","ProviderId_3","ProductId_3","airtime","ChannelId_3",30000,30000,"30/6/19 15:01:13"
"TransactionId_8748","BatchId_12979","CustomerId_326","UGX","256","ProviderId_4","ProductId_10","financial_services","ChannelId_3",2500,2500,"30/6/19 14:58:02"
"TransactionId_9390","BatchId_6479","CustomerId_326","UGX","256","ProviderId_4","ProductId_10","financial_services","ChannelId_3",10458,10458,"30/6/19 14:51:14"
"TransactionId_16969","BatchId_17048","CustomerId_233","UGX","256","ProviderId_3","ProductId_8","data_bundles","ChannelId_3",10000,10000,"30/6/19 14:42:17"
"TransactionId_19243","BatchId_14382","CustomerId_316","UGX","256","ProviderId_3","ProductId_7","airtime","ChannelId_3",1800,1800,"30/6/19 14:21:10"
"TransactionId_5626","BatchId_14758","CustomerId_447","UGX","256","ProviderId_5","ProductId_1","airtime","ChannelId_3",10000,10000,"30/6/19 13:32:17"
"TransactionId_11423","BatchId_3776","CustomerId_447","UGX","256","ProviderId_2","ProductId_10","financial_services","ChannelId_3",10000,10000,"30/6/19 13:28:30"
"TransactionId_7202","BatchId_12971","CustomerId_27","UGX","256","ProviderId_5","ProductId_8","data_bundles","ChannelId_3",500,500,"30/6/19 13:10:31"
"TransactionId_16027","BatchId_17842","CustomerId_488","UGX","256","ProviderId_4","ProductId_4","data_bundles","ChannelId_3",10000,10000,"30/6/19 12:01:57"
"TransactionId_14086","BatchId_17212","CustomerId_249","UGX","256","ProviderId_5","ProductId_4","data_bundles","ChannelId_3",5000,5000,"30/6/19 11:37:14"
"TransactionId_4022","BatchId_3305","CustomerId_327","UGX","256","ProviderId_4","ProductId_3","airtime","ChannelId_3",1000,1000,"30/6/19 11:28:39"
"TransactionId_18146","BatchId_9893","CustomerId_488","UGX","256","ProviderId_4","ProductId_4","data_bundles","ChannelId_3",10000,10000,"30/6/19 11:18:18"
"TransactionId_13317","BatchId_8849","CustomerId_314","UGX","256","ProviderId_5","ProductId_3","airtime","ChannelId_3",1000,1000,"30/6/19 11:09:32"
"TransactionId_18791","BatchId_8501","CustomerId_316","UGX","256","ProviderId_3","ProductId_7","airtime","ChannelId_3",1400,1400,"30/6/19 10:46:38"
"TransactionId_9646","BatchId_18929","CustomerId_334","UGX","256","ProviderId_5","ProductId_7","airtime","ChannelId_3",1000,1000,"30/6/19 9:55:31"
"TransactionId_17169","BatchId_3364","CustomerId_314","UGX","256","ProviderId_4","ProductId_1","airtime","ChannelId_3",6000,6000,"30/6/19 8:50:33"
"TransactionId_6398","BatchId_7704","CustomerId_314","UGX","256","ProviderId_5","ProductId_1","airtime","ChannelId_3",1000,1000,"30/6/19 8:42:43"
"TransactionId_3228","BatchId_8039","CustomerId_193","UGX","256","ProviderId_5","ProductId_1","airtime","ChannelId_3",5000,5000,"30/6/19 8:33:21"
"TransactionId_9580","BatchId_13935","CustomerId_96","UGX","256","ProviderId_5","ProductId_7","airtime","ChannelId_3",2120,2120,"30/6/19 7:20:04"
"TransactionId_6910","BatchId_13985","CustomerId_386","UGX","256","ProviderId_4","ProductId_11","data_bundles","ChannelId_3",1599,1599,"30/6/19 7:18:38"
"TransactionId_5163","BatchId_13232","CustomerId_269","UGX","256","ProviderId_4","ProductId_3","airtime","ChannelId_3",20000,20000,"30/6/19 6:58:42"
"TransactionId_3274","BatchId_9256","CustomerId_120","UGX","256","ProviderId_5","ProductId_3","airtime","ChannelId_3",1195,1195,"30/6/19 6:39:52"
"TransactionId_4809","BatchId_5228","CustomerId_248","UGX","256","ProviderId_5","ProductId_7","airtime","ChannelId_3",620,620,"30/6/19 6:06:23"
"TransactionId_11089","BatchId_6588","CustomerId_248","UGX","256","ProviderId_2","ProductId_10","financial_services","ChannelId_3",600,600,"30/6/19 5:55:07"
"TransactionId_6474","BatchId_11855","CustomerId_13","UGX","256","ProviderId_5","ProductId_3","airtime","ChannelId_4",1000,1000,"30/6/19 5:30:10"
"TransactionId_13940","BatchId_3068","CustomerId_370","UGX","256","ProviderId_4","ProductId_3","airtime","ChannelId_3",2000,2000,"30/6/19 5:05:11"
